대여일시,대여건수,서울시평균미세먼지,서울시평균초미세먼지,평균기온
20191201,9680,39,29,4.6
20191202,34397,23,13,-0.1
20191203,33580,28,16,0.5
20191204,38576,29,15,2
20191205,29277,22,11,-4.4
20191206,26723,31,16,-5.9
20191207,23013,47,31,-2.4
20191208,22597,55,40,-0.9
20191209,34140,63,46,3.2
20191210,33275,97,71,8.1
20191211,34049,75,51,6.3
20191212,33704,20,14,-0.7
20191213,34258,27,16,2.1
20191214,27424,38,26,2.7
20191215,29692,37,26,5.3
20191216,41750,38,23,7.8
20191217,25644,28,19,7.7
20191218,34899,38,27,0.8
20191219,32972,26,17,-0.8
20191220,32521,29,19,-1.1
20191221,20302,34,23,-1.2
20191222,24430,58,43,4.1
20191223,29028,50,40,3.4
20191224,33334,69,52,0.8
20191225,22428,51,38,2
20191226,25007,47,33,2
20191227,29243,34,24,-1.7
20191228,26046,42,25,1.1
20191229,18701,45,27,3.8
20191230,22952,36,25,2.7
20191231,18436,26,15,-7.9
20200101,16236,34,23,-2.2
20200102,28890,58,40,1
20200103,30809,69,47,-0.1
20200104,25709,56,38,1.2
20200105,23206,52,36,1.3
20200106,15381,39,27,3.1
20200107,1920,8,6,6.3
20200108,21522,21,16,2.4
20200109,28711,50,40,-1.2
20200110,29395,65,49,-0.6
20200111,23246,54,40,-0.1
20200112,19842,46,34,-1
20200113,26786,26,17,-2.9
20200114,28435,32,21,-2.3
20200115,28391,38,25,-2.7
20200116,29026,43,28,-1.7
20200117,29626,58,37,-0.6
20200118,24635,64,40,0.3
20200119,17682,63,47,1.9
20200120,28611,52,30,0.7
20200121,30618,44,25,-0.4
20200122,33011,45,28,3
20200123,34466,60,40,4.6
20200124,19230,71,51,2.8
20200125,15233,51,38,4.3
20200126,22685,27,20,5.5
20200127,16836,10,5,5.9
20200128,32098,12,6,6.8
20200129,37990,17,8,6
20200130,38079,18,10,5.2
20200131,35857,25,17,3.9
20200201,27151,69,52,2.6
20200202,22384,70,54,1.5
20200203,29681,25,16,-0.4
20200204,23006,24,16,-1.6
20200205,20311,22,11,-8.3
20200206,22401,38,20,-6.4
20200207,26540,37,24,-1.7
20200208,22046,40,29,-0.1
20200209,21099,36,25,-0.5
20200210,33956,47,31,4
20200211,40563,57,35,6.8
20200212,10698,48,34,7.4
20200213,34375,70,54,6.5
20200214,41229,80,61,8.1
20200215,29837,63,49,9.8
20200216,6798,24,18,-1.4
20200217,13777,31,18,-5.9
20200218,19773,23,15,-4.1
20200219,32721,32,23,1
20200220,36027,58,44,4.6
20200221,29779,60,46,6.7
20200222,18290,69,37,4
20200223,25159,23,12,2.5
20200224,36094,34,19,7
20200225,15939,21,13,6.7
20200226,35773,17,10,6.4
20200227,38526,13,7,6.1
20200228,12644,26,18,4.5
20200229,35697,24,17,7.7
20200301,24431,45,34,5.8
20200302,36641,38,29,3.4
20200303,39447,45,33,4.8
20200304,31269,45,34,2.2
20200305,35851,36,28,1.4
20200306,40897,40,27,3.7
20200307,42379,55,39,7
20200308,54245,59,45,9.3
20200309,53020,59,43,11.1
20200310,10606,43,32,6.4
20200311,45245,34,13,3.8
20200312,50094,34,14,6.8
20200313,43554,32,13,4.9
20200314,42569,39,19,3.6
20200315,33215,41,17,4
20200316,42441,24,12,3.6
20200317,47241,49,22,6.6
20200318,62119,60,35,10
20200319,24256,61,26,9.1
20200320,53839,41,9,8.8
20200321,63759,53,17,12.8
20200322,64436,41,17,11
20200323,63686,50,28,10.6
20200324,69998,58,35,11.4
20200325,73460,50,30,12.5
20200326,47633,51,31,14.8
20200327,60183,42,25,11.9
20200328,64677,34,8,7.7
20200329,68430,41,16,8.7
20200330,69293,52,28,10.2
20200331,74621,49,26,11.9
20200401,70258,70,31,11.3
20200402,72129,39,24,9.3
20200403,74856,56,32,10
20200404,66405,68,28,8.9
20200405,64111,46,21,7.2
20200406,68414,53,21,9.3
20200407,73685,56,25,10.6
20200408,72863,43,18,9.4
20200409,73382,47,23,8.9
20200410,75021,43,25,10.7
20200411,75637,38,22,9.9
20200412,63335,31,20,9.9
20200413,77604,22,11,12.4
20200414,83798,50,28,13
20200415,89789,62,36,13.2
20200416,83970,51,29,16
20200417,35656,38,22,12.5
20200418,92829,26,13,13.5
20200419,29375,25,16,12.3
20200420,56129,14,8,10
20200421,58746,35,9,7.4
20200422,51337,79,10,6
20200423,64765,43,13,7.9
20200424,72883,39,13,9.9
20200425,78419,58,23,13.1
20200426,82600,30,14,12.3
20200427,77149,33,17,12.9
20200428,86541,36,19,13.9
20200429,88827,44,25,14.9
20200430,96877,35,19,17.1
20200501,93249,51,31,20.2
20200502,88508,48,29,20.3
20200503,89287,28,18,21.8
20200504,93579,35,17,20.2
20200505,88219,36,19,16
20200506,88561,32,16,19.4
20200507,90645,28,11,20.7
20200508,63474,26,12,19.9
20200509,7600,14,9,14.2
20200510,65932,29,20,14.4
20200511,76042,106,29,16.5
20200512,78200,40,15,14.3
20200513,89183,30,10,16.1
20200514,89149,40,13,19.3
20200515,13782,32,12,16.1
20200516,64549,22,14,16.7
20200517,89449,41,28,19.1
20200518,36761,44,29,19.1
20200519,55556,15,7,13
20200520,88257,7,3,14.4
20200521,93930,20,10,17.4
20200522,89317,41,27,18.5
20200523,101256,47,32,20.1
20200524,80357,25,18,17.1
20200525,92531,35,24,16.6
20200526,68498,38,26,16.2
20200527,101949,22,13,17.4
20200528,99792,29,19,18.7
20200529,103999,34,21,20.7
20200530,105172,39,26,22.6
20200531,93547,40,29,21.2
